Sample Number (10 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),HeartRate (bpm),BloodOxygen (Sp02),BodyTemp (Celcius)
506,1620317742195,42.0,96.0,26.0
507,1620317742195,42.0,96.0,26.0
508,1620317742195,42.0,96.0,26.0
509,1620317742195,42.0,96.0,26.0
510,1620317742195,42.0,96.0,26.0
511,1620317742195,42.0,96.0,26.0
512,1620317742195,42.0,96.0,26.0
513,1620317742195,42.0,96.0,26.0
514,1620317742195,42.0,96.0,26.0
515,1620317742195,42.0,96.0,26.0
516,1620317742195,42.0,96.0,26.0
517,1620317742195,42.0,96.0,26.0
518,1620317742195,42.0,96.0,26.0
519,1620317742195,42.0,96.0,26.0
520,1620317742196,42.0,96.0,26.0
521,1620317742196,42.0,96.0,26.0
522,1620317742196,42.0,96.0,26.0
523,1620317742196,42.0,96.0,26.0
524,1620317742196,42.0,96.0,26.0
525,1620317742196,42.0,96.0,26.0
526,1620317742196,42.0,96.0,26.0
527,1620317742196,42.0,96.0,26.0
528,1620317742196,42.0,96.0,26.0
529,1620317742196,42.0,96.0,26.0
530,1620317742196,42.0,96.0,26.0
531,1620317742196,42.0,96.0,26.0
532,1620317742196,42.0,96.0,26.0
533,1620317742196,42.0,96.0,26.0
534,1620317742196,42.0,96.0,26.0
535,1620317742196,42.0,96.0,26.0
536,1620317742196,42.0,96.0,26.0
537,1620317742196,42.0,96.0,26.0
538,1620317742196,42.0,96.0,26.0
539,1620317742196,42.0,96.0,26.0
540,1620317742196,42.0,96.0,26.0
541,1620317742196,42.0,96.0,26.0
542,1620317742196,42.0,96.0,26.0
543,1620317742196,42.0,96.0,26.0
544,1620317742196,42.0,96.0,26.0
545,1620317742196,42.0,96.0,26.0
546,1620317742196,42.0,96.0,26.0
547,1620317742196,42.0,96.0,26.0
548,1620317742196,42.0,96.0,26.0
549,1620317742196,42.0,96.0,26.0
550,1620317742196,42.0,96.0,26.0
551,1620317742196,42.0,96.0,26.0
552,1620317742196,42.0,96.0,26.0
553,1620317742196,42.0,96.0,26.0
554,1620317742196,42.0,96.0,26.0
555,1620317742196,42.0,96.0,26.0
556,1620317742196,42.0,96.0,26.0
557,1620317742196,42.0,96.0,26.0
558,1620317742196,42.0,96.0,26.0
559,1620317742196,42.0,96.0,26.0
560,1620317742196,42.0,96.0,26.0
561,1620317742196,42.0,96.0,26.0
562,1620317742196,42.0,96.0,26.0
563,1620317742196,42.0,96.0,26.0
564,1620317742196,42.0,96.0,26.0
565,1620317742196,42.0,96.0,26.0
566,1620317742196,42.0,96.0,26.0
567,1620317742196,42.0,96.0,26.0
568,1620317742196,42.0,96.0,26.0
569,1620317742196,42.0,96.0,26.0
570,1620317742196,42.0,96.0,26.0
571,1620317742196,42.0,96.0,26.0
572,1620317742196,42.0,96.0,26.0
573,1620317742196,42.0,96.0,26.0
574,1620317742196,42.0,96.0,26.0
575,1620317742196,42.0,96.0,26.0
576,1620317742196,42.0,96.0,26.0
577,1620317742196,42.0,96.0,26.0
578,1620317742196,42.0,96.0,26.0
579,1620317742196,42.0,96.0,26.0
580,1620317742197,42.0,96.0,26.0
581,1620317742197,42.0,96.0,26.0
582,1620317742197,42.0,96.0,26.0
583,1620317742197,42.0,96.0,26.0
584,1620317742197,42.0,96.0,26.0
585,1620317742197,42.0,96.0,26.0
586,1620317742197,42.0,96.0,26.0
587,1620317742197,42.0,96.0,26.0
588,1620317742197,42.0,96.0,26.0
589,1620317742197,42.0,96.0,26.0
590,1620317742197,42.0,96.0,26.0
591,1620317742197,42.0,96.0,26.0
592,1620317742197,42.0,96.0,26.0
593,1620317742197,42.0,96.0,26.0
594,1620317742197,42.0,96.0,26.0
595,1620317742197,42.0,96.0,26.0
596,1620317742197,42.0,96.0,26.0
597,1620317742197,42.0,96.0,26.0
598,1620317742197,42.0,96.0,26.0
599,1620317742197,42.0,96.0,26.0
600,1620317742197,42.0,96.0,26.0
601,1620317742197,42.0,96.0,26.0
602,1620317742197,42.0,96.0,26.0
603,1620317742197,42.0,96.0,26.0
604,1620317742197,42.0,96.0,26.0
605,1620317742197,42.0,96.0,26.0
606,1620317742197,42.0,96.0,26.0
607,1620317742197,42.0,96.0,26.0
608,1620317742197,42.0,96.0,26.0
609,1620317742197,42.0,96.0,26.0
610,1620317742197,42.0,96.0,26.0
611,1620317742197,42.0,96.0,26.0
612,1620317742197,42.0,96.0,26.0
613,1620317742197,42.0,96.0,26.0
614,1620317742197,42.0,96.0,26.0
615,1620317742197,42.0,96.0,26.0
616,1620317742197,42.0,96.0,26.0
617,1620317742197,42.0,96.0,26.0
618,1620317742197,42.0,96.0,26.0
619,1620317742197,42.0,96.0,26.0
620,1620317742197,42.0,96.0,26.0
621,1620317742197,42.0,96.0,26.0
622,1620317742197,42.0,96.0,26.0
623,1620317742197,42.0,96.0,26.0
624,1620317742197,42.0,96.0,26.0
625,1620317742197,42.0,96.0,26.0
626,1620317742197,42.0,96.0,26.0
627,1620317742197,42.0,96.0,26.0
628,1620317742197,42.0,96.0,26.0
629,1620317742197,42.0,96.0,26.0
630,1620317742197,42.0,96.0,26.0
631,1620317742197,42.0,96.0,26.0
632,1620317742197,42.0,96.0,26.0
633,1620317742197,42.0,96.0,26.0
634,1620317742197,42.0,96.0,26.0
635,1620317742197,42.0,96.0,26.0
636,1620317742197,42.0,96.0,26.0
637,1620317742197,42.0,96.0,26.0
638,1620317742197,42.0,96.0,26.0
639,1620317742197,42.0,96.0,26.0
640,1620317742197,42.0,96.0,26.0
641,1620317742198,42.0,96.0,26.0
642,1620317742198,42.0,96.0,26.0
643,1620317742198,42.0,96.0,26.0
644,1620317742198,42.0,96.0,26.0
645,1620317742198,42.0,96.0,26.0
646,1620317742198,42.0,96.0,26.0
647,1620317742198,42.0,96.0,26.0
648,1620317742198,42.0,96.0,26.0
649,1620317742198,42.0,96.0,26.0
650,1620317742198,42.0,96.0,26.0
651,1620317742198,42.0,96.0,26.0
652,1620317742198,42.0,96.0,26.0
653,1620317742198,42.0,96.0,26.0
654,1620317742198,42.0,96.0,26.0
655,1620317742198,42.0,96.0,26.0
656,1620317742198,42.0,96.0,26.0
657,1620317742198,42.0,96.0,26.0
658,1620317742198,42.0,96.0,26.0
659,1620317742198,42.0,96.0,26.0
660,1620317742198,42.0,96.0,26.0
661,1620317742198,42.0,96.0,26.0
662,1620317742198,42.0,96.0,26.0
663,1620317742198,42.0,96.0,26.0
664,1620317742198,42.0,96.0,26.0
665,1620317742198,42.0,96.0,26.0
666,1620317742198,42.0,96.0,26.0
667,1620317742198,42.0,96.0,26.0
668,1620317742198,42.0,96.0,26.0
669,1620317742198,42.0,96.0,26.0
670,1620317742198,42.0,96.0,26.0
671,1620317742198,42.0,96.0,26.0
672,1620317742198,42.0,96.0,26.0
673,1620317742198,42.0,96.0,26.0
674,1620317742198,42.0,96.0,26.0
675,1620317742198,42.0,96.0,26.0
676,1620317742198,42.0,96.0,26.0
677,1620317742198,42.0,96.0,26.0
678,1620317742198,42.0,96.0,26.0
679,1620317742198,42.0,96.0,26.0
680,1620317742198,42.0,96.0,26.0
